PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID
1,2025-10-01,10:00:39,,,,,,,"Garcia, Marco",3000001,Right,MOC_SAN,Undefined,,,,,,Undefined,,InPlay,Undefined,GroundBall,Undefined,,,,,,,,,,,,,,,,,,,,,,98.06,-9.7,-34.72,,,,,78.0,78.0,-23.24,,,,,,,,,,,,,MOC_SAN,,MockField,JUCO,NJCAA,20251001-MockField-BP-1,3b28eb34-0169-45df-8bd3-4c37b27ed2fd,,,,,,,,,,,07493f2a-6dd6-432d-bd16-8a402bc70b17,2025-10-01,17:00:39,2025-10-01T10:00:39,2025-10-01T17:00:39Z,GroundBall,v3,,,,,,,,f016063b-b8ee-4d15-b8a0-306563b9f841
2,2025-10-01,10:01:19,,,,,,,"Garcia, Marco",3000001,Right,MOC_SAN,Undefined,,,,,,Undefined,,InPlay,Undefined,GroundBall,Undefined,,,,,,,,,,,,,,,,,,,,,,84.88,-9.03,-41.35,,,,,81.59,81.59,-36.44,,,,,,,,,,,,,MOC_SAN,,MockField,JUCO,NJCAA,20251001-MockField-BP-1,93ad5c43-7c9d-461a-9870-4fdde51269b6,,,,,,,,,,,07493f2a-6dd6-432d-bd16-8a402bc70b17,2025-10-01,17:01:19,2025-10-01T10:01:19,2025-10-01T17:01:19Z,GroundBall,v3,,,,,,,,b94b32d3-bbce-402d-a75e-0d6af35af168
3,2025-10-01,10:01:46,,,,,,,"Garcia, Marco",3000001,Right,MOC_SAN,Undefined,,,,,,Undefined,,InPlay,Undefined,FlyBall,Undefined,,,,,,,,,,,,,,,,,,,,,,90.85,26.19,-6.84,2420.27,,,,302.3,302.3,15.31,2.0,,,,,,,,,,,,MOC_SAN,,MockField,JUCO,NJCAA,20251001-MockField-BP-1,ee49a87d-7cab-461f-b154-28a743670de4,,,,,,,,,,,07493f2a-6dd6-432d-bd16-8a402bc70b17,2025-10-01,17:01:46,2025-10-01T10:01:46,2025-10-01T17:01:46Z,FlyBall,v3,,,,,,,,4f2857f5-bf02-40a1-95ec-d41072e23b5f
4,2025-10-01,10:02:18,,,,,,,"Garcia, Marco",3000001,Right,MOC_SAN,Undefined,,,,,,Undefined,,InPlay,Undefined,GroundBall,Undefined,,,,,,,,,,,,,,,,,,,,,,84.41,-7.44,63.14,,,,,79.74,79.74,52.31,,,,,,,,,,,,,MOC_SAN,,MockField,JUCO,NJCAA,20251001-MockField-BP-1,1351ce7b-016c-4169-bd27-dcf3b454795f,,,,,,,,,,,07493f2a-6dd6-432d-bd16-8a402bc70b17,2025-10-01,17:02:18,2025-10-01T10:02:18,2025-10-01T17:02:18Z,GroundBall,v3,,,,,,,,271a0499-d23b-4e76-b853-f582cfbeb6cb
5,2025-10-01,10:02:58,,,,,,,"Garcia, Marco",3000001,Right,MOC_SAN,Undefined,,,,,,Undefined,,InPlay,Undefined,GroundBall,Undefined,,,,,,,,,,,,,,,,,,,,,,95.28,0.33,-4.8,,,,,71.71,71.71,-15.16,,,,,,,,,,,,,MOC_SAN,,MockField,JUCO,NJCAA,20251001-MockField-BP-1,6ab5dc0f-6ffd-44ae-8554-e1ff7ac1b77e,,,,,,,,,,,07493f2a-6dd6-432d-bd16-8a402bc70b17,2025-10-01,17:02:58,2025-10-01T10:02:58,2025-10-01T17:02:58Z,GroundBall,v3,,,,,,,,3e956e97-926c-4922-afd5-a0510bb530c4
6,2025-10-01,10:03:30,,,,,,,"Garcia, Marco",3000001,Right,MOC_SAN,Undefined,,,,,,Undefined,,InPlay,Undefined,GroundBall,Undefined,,,,,,,,,,,,,,,,,,,,,,89.05,-0.2,-13.42,,,,,31.34,31.34,2.83,,,,,,,,,,,,,MOC_SAN,,MockField,JUCO,NJCAA,20251001-MockField-BP-1,f7442d5a-cafc-4a56-b861-9bacb67f7772,,,,,,,,,,,07493f2a-6dd6-432d-bd16-8a402bc70b17,2025-10-01,17:03:30,2025-10-01T10:03:30,2025-10-01T17:03:30Z,GroundBall,v3,,,,,,,,6f1052a9-13d5-41b7-b062-883c9ad5fba5
7,2025-10-01,10:04:11,,,,,,,"Garcia, Marco",3000001,Right,MOC_SAN,Undefined,,,,,,Undefined,,InPlay,Undefined,GroundBall,Undefined,,,,,,,,,,,,,,,,,,,,,,89.03,2.95,14.48,,,,,106.79,106.79,8.47,,,,,,,,,,,,,MOC_SAN,,MockField,JUCO,NJCAA,20251001-MockField-BP-1,27231a5b-4505-442f-aa6c-30efa4d6fd2b,,,,,,,,,,,07493f2a-6dd6-432d-bd16-8a402bc70b17,2025-10-01,17:04:11,2025-10-01T10:04:11,2025-10-01T17:04:11Z,GroundBall,v3,,,,,,,,99fff3ff-831a-49af-aedc-88e8244822ce
8,2025-10-01,10:04:43,,,,,,,"Garcia, Marco",3000001,Right,MOC_SAN,Undefined,,,,,,Undefined,,InPlay,Undefined,GroundBall,Undefined,,,,,,,,,,,,,,,,,,,,,,79.8,-3.11,72.46,,,,,66.62,66.62,60.0,,,,,,,,,,,,,MOC_SAN,,MockField,JUCO,NJCAA,20251001-MockField-BP-1,4196d65a-2a52-4560-a132-b6e2b5f89dd4,,,,,,,,,,,07493f2a-6dd6-432d-bd16-8a402bc70b17,2025-10-01,17:04:43,2025-10-01T10:04:43,2025-10-01T17:04:43Z,GroundBall,v3,,,,,,,,9f3bc1db-e0d5-4648-8a36-4ea709c3595d
9,2025-10-01,10:05:21,,,,,,,"Garcia, Marco",3000001,Right,MOC_SAN,Undefined,,,,,,Undefined,,InPlay,Undefined,GroundBall,Undefined,,,,,,,,,,,,,,,,,,,,,,89.64,-4.97,-45.67,,,,,98.27,98.27,-37.06,,,,,,,,,,,,,MOC_SAN,,MockField,JUCO,NJCAA,20251001-MockField-BP-1,209c9894-de21-4009-9220-76a7cb3425d0,,,,,,,,,,,07493f2a-6dd6-432d-bd16-8a402bc70b17,2025-10-01,17:05:21,2025-10-01T10:05:21,2025-10-01T17:05:21Z,GroundBall,v3,,,,,,,,bdd2f715-9c76-47aa-a08d-a5f6eb5dad31
10,2025-10-01,10:05:54,,,,,,,"Garcia, Marco",3000001,Right,MOC_SAN,Undefined,,,,,,Undefined,,InPlay,Undefined,LineDrive,Undefined,,,,,,,,,,,,,,,,,,,,,,97.2,10.45,64.63,2160.62,,,,129.93,129.93,47.83,2.03,,,,,,,,,,,,MOC_SAN,,MockField,JUCO,NJCAA,20251001-MockField-BP-1,535fb8d9-9435-4cf9-9730-518533d93170,,,,,,,,,,,07493f2a-6dd6-432d-bd16-8a402bc70b17,2025-10-01,17:05:54,2025-10-01T10:05:54,2025-10-01T17:05:54Z,LineDrive,v3,,,,,,,,7de75bc3-88b2-41f9-8a6d-fc804f977d5a
