PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID
1,2025-10-04,13:00:28,1,1,"Martinez, Diego",2000001,Right,MOC_SAN,"Flores, Miguel",4000005,Left,OPP_VAL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.79,0.25,-1.21,2558.79,56.87,7:53,5.86,1.84,6.0,-47.18,2.22,-15.88,2.37,0.06,75.06,-5.13,0.97,0.45,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,d2254d4e-fa30-4abb-b6ba-0d04670b3885,82.34,,,8.73,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:00:28,2025-10-04T13:00:28,2025-10-04T20:00:28Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,fafa94c0-db68-41a6-b775-16faf8fa6307
2,2025-10-04,13:00:52,1,2,"Martinez, Diego",2000001,Right,MOC_SAN,"Flores, Miguel",4000005,Left,OPP_VAL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.19,-2.41,-3.1,2486.46,223.86,1:27,5.92,1.95,5.98,-17.69,19.25,15.18,3.07,-1.21,88.19,-4.23,-2.5,0.45,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,363a4814-e782-4f67-b3fd-e8f8a5a54c2f,92.84,,,6.0,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:00:52,2025-10-04T13:00:52,2025-10-04T20:00:52Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,b142e527-408e-40cf-bc98-bc0c5f6ca292
3,2025-10-04,13:01:08,1,3,"Martinez, Diego",2000001,Right,MOC_SAN,"Flores, Miguel",4000005,Left,OPP_VAL,Undefined,1,Top,0,2,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.73,-2.03,-2.98,1555.01,235.88,1:51,5.78,1.9,6.21,-35.41,10.5,15.6,2.05,-0.68,77.39,-5.93,2.39,0.44,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,3a6d7d3e-c0a0-434c-8ddf-026d79afbc58,84.56,,,8.34,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:01:08,2025-10-04T13:01:08,2025-10-04T20:01:08Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,5385a810-7ee0-4635-b0c1-1ca31d971b9c
4,2025-10-04,13:01:39,1,4,"Martinez, Diego",2000001,Right,MOC_SAN,"Flores, Miguel",4000005,Left,OPP_VAL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,,93.52,-2.35,-2.08,2333.95,209.26,12:58,5.91,1.84,6.07,-17.23,19.87,15.83,2.16,-0.42,84.07,-8.26,-2.62,0.43,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,d62ceaf6-f805-43a9-8b3e-0a0546f8c1ff,91.81,,,9.45,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:01:39,2025-10-04T13:01:39,2025-10-04T20:01:39Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,cb83d024-0e08-4b35-b1d7-a15ac205f409
5,2025-10-04,13:01:54,1,5,"Martinez, Diego",2000001,Right,MOC_SAN,"Flores, Miguel",4000005,Left,OPP_VAL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.59,0.4,-0.31,2161.15,205.23,12:50,5.81,2.03,6.24,-15.98,19.47,10.86,1.94,-0.32,84.1,-5.49,-3.57,0.44,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,1528cc11-1b3e-47a1-bd53-50b9ad0a33c1,90.74,,,8.49,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:01:54,2025-10-04T13:01:54,2025-10-04T20:01:54Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,1f75446d-9a03-43bd-8f5f-94a7feb25ec4
6,2025-10-04,13:02:18,1,6,"Martinez, Diego",2000001,Right,MOC_SAN,"Flores, Miguel",4000005,Left,OPP_VAL,Undefined,1,Top,0,3,2,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,85.06,0.58,-4.02,1617.0,231.56,1:43,5.82,1.9,6.1,-34.88,9.0,18.45,1.97,-0.53,75.59,-5.63,-0.73,0.51,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,ac930933-58fd-4b2e-b0f1-98f6fa981884,84.0,,,9.47,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:02:18,2025-10-04T13:02:18,2025-10-04T20:02:18Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,3d4263b3-4afc-444b-8990-c1e147fcb0ab
7,2025-10-04,13:02:53,2,1,"Martinez, Diego",2000001,Right,MOC_SAN,"Reed, Cameron",4000006,Right,OPP_VAL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.59,-1.8,-3.61,2423.39,194.77,12:29,5.83,2.08,6.05,-12.72,20.04,14.23,3.12,0.52,83.52,-5.42,-3.29,0.44,86.03,2.56,6.7,,,,,76.94,76.94,4.73,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,49fd1978-d277-43cd-b765-206535bd23c9,91.58,,,9.07,,,,0.55,2.54,3.25,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:02:53,2025-10-04T13:02:53,2025-10-04T20:02:53Z,GroundBall,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,01c5be68-4931-4a06-bf01-dc7439fefc08
8,2025-10-04,13:03:11,3,1,"Martinez, Diego",2000001,Right,MOC_SAN,"Hunter, Malik",4000007,Left,OPP_VAL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.18,0.33,-1.02,2535.64,79.75,8:39,5.8,1.97,6.12,-44.6,-4.11,-14.78,1.97,-0.5,74.51,-5.88,-2.23,0.41,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,b709a4aa-13d1-4c27-b02d-84daa5a325d8,80.93,,,8.67,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:03:11,2025-10-04T13:03:11,2025-10-04T20:03:11Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,184ea6d7-c187-4cdd-8354-609d2fe75cce
9,2025-10-04,13:03:38,3,2,"Martinez, Diego",2000001,Right,MOC_SAN,"Hunter, Malik",4000007,Left,OPP_VAL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.22,3.92,-0.57,2352.03,215.02,1:10,5.96,1.72,6.27,-13.95,17.07,12.76,3.8,0.41,85.69,-6.8,-0.13,0.48,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,20657d1e-8e75-4e5c-9866-bb4b54d1aed2,91.61,,,7.53,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:03:38,2025-10-04T13:03:38,2025-10-04T20:03:38Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,82e8e853-4de0-4d36-8e16-3d314eb658e8
10,2025-10-04,13:04:09,3,3,"Martinez, Diego",2000001,Right,MOC_SAN,"Hunter, Malik",4000007,Left,OPP_VAL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.68,-1.11,-1.22,2178.84,210.73,1:01,5.97,1.95,6.18,-12.64,18.86,10.4,0.97,-0.49,86.16,-5.01,0.62,0.46,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,722f9585-bd6d-49ac-9d7f-e3e0f8053ac3,91.64,,,7.52,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:04:09,2025-10-04T13:04:09,2025-10-04T20:04:09Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,98e3d377-00fb-4597-9dc3-cfc2b5b156df
11,2025-10-04,13:04:26,3,4,"Martinez, Diego",2000001,Right,MOC_SAN,"Hunter, Malik",4000007,Left,OPP_VAL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.78,-3.24,-1.23,2362.21,227.27,1:34,5.67,1.87,6.14,-13.29,17.84,10.69,3.36,-0.58,84.06,-3.22,-0.89,0.48,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,9a6840df-085a-453c-8a05-b1ee848a2d7e,90.48,,,7.72,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:04:26,2025-10-04T13:04:26,2025-10-04T20:04:26Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,263e3caf-513d-463d-9c08-08e9b9635d7c
12,2025-10-04,13:04:45,3,5,"Martinez, Diego",2000001,Right,MOC_SAN,"Hunter, Malik",4000007,Left,OPP_VAL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,1,0,,91.61,-1.85,-0.74,2245.48,210.74,1:01,5.78,1.88,6.28,-19.66,20.51,13.46,2.49,0.34,82.8,-5.78,-3.19,0.44,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,e0805a1c-2495-494b-a883-58f11e9ed8ef,91.11,,,8.81,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:04:45,2025-10-04T13:04:45,2025-10-04T20:04:45Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,7ae6a73d-bf17-4195-aa60-b90e7a675d7a
13,2025-10-04,13:05:13,4,1,"Martinez, Diego",2000001,Right,MOC_SAN,"Cole, Brendan",4000008,Right,OPP_VAL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.56,-1.52,0.62,2421.38,216.8,1:13,5.96,1.94,6.11,-20.16,19.41,13.35,3.39,0.57,84.01,-5.9,-1.4,0.46,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,20e19b35-b964-45e9-88c3-06b15f4f89b5,89.77,,,7.55,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:05:13,2025-10-04T13:05:13,2025-10-04T20:05:13Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,490b279d-036c-45a2-b853-7c6ac6cbe7a9
14,2025-10-04,13:05:32,4,2,"Martinez, Diego",2000001,Right,MOC_SAN,"Cole, Brendan",4000008,Right,OPP_VAL,Undefined,1,Top,1,1,0,Slider,Slider,BallIntentional,Undefined,Undefined,Undefined,0,0,,82.92,-3.8,0.1,2678.65,79.48,8:38,5.87,1.9,6.01,-43.33,-1.41,-15.06,2.72,-0.21,74.3,-3.73,-1.7,0.43,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,3dabbd9f-5906-4860-b028-b3d40ef009c1,82.37,,,8.62,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:05:32,2025-10-04T13:05:32,2025-10-04T20:05:32Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,ef0f98c7-e5ce-482d-97c5-9f3530a96289
15,2025-10-04,13:05:54,4,3,"Martinez, Diego",2000001,Right,MOC_SAN,"Cole, Brendan",4000008,Right,OPP_VAL,Undefined,1,Top,1,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.75,-2.68,-3.71,1652.97,235.71,1:51,5.85,1.95,6.07,-31.22,9.38,13.81,2.83,0.17,76.26,-6.9,0.64,0.46,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,bff89764-280a-417d-890a-912beebb4608,81.9,,,7.49,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:05:54,2025-10-04T13:05:54,2025-10-04T20:05:54Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,fc02a8d3-fb62-41e3-abb4-d37d54475fd0
16,2025-10-04,13:06:25,4,4,"Martinez, Diego",2000001,Right,MOC_SAN,"Cole, Brendan",4000008,Right,OPP_VAL,Undefined,1,Top,1,3,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.05,-1.67,-1.75,2276.79,216.09,1:12,5.89,1.86,5.85,-19.55,18.36,12.75,1.95,-0.41,88.29,-7.59,0.96,0.46,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,9935fc76-bce7-4202-97a3-7c2bef6c475e,94.05,,,6.76,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:06:25,2025-10-04T13:06:25,2025-10-04T20:06:25Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,4433a6ad-5180-41a0-84e7-0c23a2f68966
17,2025-10-04,13:06:49,4,5,"Martinez, Diego",2000001,Right,MOC_SAN,"Cole, Brendan",4000008,Right,OPP_VAL,Undefined,1,Top,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.24,-0.98,-0.8,2361.93,200.61,12:41,6.02,1.84,5.99,-18.15,20.56,12.59,2.27,1.22,86.34,-7.05,1.28,0.5,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,6ed78442-c82b-4d8d-93aa-53fa9f1ef710,93.48,,,7.9,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:06:49,2025-10-04T13:06:49,2025-10-04T20:06:49Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,3270bae9-a410-42b7-a177-8fa023c8caa5
18,2025-10-04,13:07:08,5,1,"Martinez, Diego",2000001,Right,MOC_SAN,"Webb, Isaiah",4000009,Right,OPP_VAL,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,82.93,-0.85,0.04,2586.99,76.77,8:33,5.79,1.86,5.96,-43.86,-3.41,-11.71,3.19,0.21,75.17,-4.69,-3.66,0.45,88.55,-6.81,27.95,,,,,73.48,73.48,15.64,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,1f6d426a-c816-4bae-bb60-771e44c16daa,80.64,,,7.76,,,,0.38,2.72,3.21,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:07:08,2025-10-04T13:07:08,2025-10-04T20:07:08Z,GroundBall,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,e7f31bbe-c362-47b5-9619-ce5a6103ada4
19,2025-10-04,13:07:37,6,1,"Martinez, Diego",2000001,Right,MOC_SAN,"Vasquez, Ricky",4000001,Right,OPP_VAL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.77,-1.41,-1.93,2294.8,226.61,1:33,5.81,1.86,6.13,-20.63,19.94,13.06,2.53,0.73,82.6,-3.75,-1.47,0.47,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,6a2680da-df00-4846-81ba-2da2ae1f594a,91.15,,,10.17,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:07:37,2025-10-04T13:07:37,2025-10-04T20:07:37Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,a3458992-6bf2-4615-9575-6b3daaf65f31
20,2025-10-04,13:08:06,6,2,"Martinez, Diego",2000001,Right,MOC_SAN,"Vasquez, Ricky",4000001,Right,OPP_VAL,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.06,-2.4,-0.71,2341.69,206.36,12:52,5.98,1.77,6.15,-19.44,17.87,12.07,3.32,-0.53,81.65,-4.85,-2.02,0.46,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,75e7a682-3955-4655-be83-a71e738201c7,90.13,,,9.41,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:08:06,2025-10-04T13:08:06,2025-10-04T20:08:06Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,6cdf1434-cb9b-41b9-ae14-fcbc61e8e29a
21,2025-10-04,13:08:21,6,3,"Martinez, Diego",2000001,Right,MOC_SAN,"Vasquez, Ricky",4000001,Right,OPP_VAL,Undefined,1,Top,2,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.29,-0.47,-2.71,2382.11,219.43,1:18,5.88,1.75,6.2,-18.59,20.76,12.94,2.4,-0.28,84.84,-7.5,-2.17,0.48,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,49c46276-f443-4eb4-861d-ce777e5be6a2,91.46,,,7.45,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:08:21,2025-10-04T13:08:21,2025-10-04T20:08:21Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,af09dd65-0e40-4602-bbef-93f986e6c04b
22,2025-10-04,13:08:54,6,4,"Martinez, Diego",2000001,Right,MOC_SAN,"Vasquez, Ricky",4000001,Right,OPP_VAL,Undefined,1,Top,2,3,0,ChangeUp,Changeup,BallinDirt,Walk,Undefined,Undefined,0,0,,84.2,0.21,-3.37,1706.89,236.9,1:53,5.93,1.94,5.95,-28.57,6.61,11.84,3.43,-0.55,75.87,-3.69,-3.84,0.49,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,6eeedee6-1256-4bef-98e5-299b2deb2a0b,82.77,,,8.33,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:08:54,2025-10-04T13:08:54,2025-10-04T20:08:54Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,b3ad472a-11e7-4dcf-869b-719b5e4e179b
23,2025-10-04,13:09:17,1,1,"Martinez, Diego",2000001,Right,MOC_SAN,"Cole, Brendan",4000008,Right,OPP_VAL,Undefined,2,Top,0,0,0,Slider,Slider,InPlay,Undefined,LineDrive,Out,1,0,,84.41,0.22,-1.55,2567.02,74.43,8:28,5.8,1.91,6.11,-45.8,0.68,-12.14,2.03,0.75,77.12,-10.0,-2.59,0.42,86.67,16.85,2.94,3635.24,,,,222.41,222.41,-0.39,1.53,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,9ba83db8-c280-403e-8868-5b5925313527,82.32,,,7.29,,,,0.76,2.32,1.84,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:09:17,2025-10-04T13:09:17,2025-10-04T20:09:17Z,LineDrive,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,fcf4d7c3-77b7-4ec9-8254-1be7e3f6f559
24,2025-10-04,13:09:45,2,1,"Martinez, Diego",2000001,Right,MOC_SAN,"Webb, Isaiah",4000009,Right,OPP_VAL,Undefined,2,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.26,0.54,-1.16,2407.27,210.43,1:00,5.82,1.87,6.13,-24.03,18.85,12.29,3.89,-1.01,81.8,-8.39,-1.62,0.44,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,b61740d0-47c0-4dbd-9ca2-4d55355a45ed,88.89,,,9.46,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:09:45,2025-10-04T13:09:45,2025-10-04T20:09:45Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,41e64889-b2a1-488a-a07c-7080a590696d
25,2025-10-04,13:10:07,2,2,"Martinez, Diego",2000001,Right,MOC_SAN,"Webb, Isaiah",4000009,Right,OPP_VAL,Undefined,2,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.82,-0.97,-1.39,2641.75,63.49,8:06,5.74,1.88,5.93,-46.18,1.08,-13.83,2.54,0.43,75.02,-7.74,-0.74,0.42,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,92b3695b-a213-4533-adcf-71366380f745,81.01,,,7.8,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:10:07,2025-10-04T13:10:07,2025-10-04T20:10:07Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,143fc83b-a03f-4a9d-95a9-9687829cae42
26,2025-10-04,13:10:29,2,3,"Martinez, Diego",2000001,Right,MOC_SAN,"Webb, Isaiah",4000009,Right,OPP_VAL,Undefined,2,Top,1,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.31,-0.87,0.09,1756.03,233.99,1:47,5.76,2.04,6.08,-29.79,9.09,17.23,2.13,0.19,75.32,-6.65,2.64,0.45,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,0c5b6f82-2171-4842-a02a-c9ac05de2c01,81.12,,,7.99,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:10:29,2025-10-04T13:10:29,2025-10-04T20:10:29Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,8ae617da-b1fc-450e-a7fc-320106819fa2
27,2025-10-04,13:10:49,2,4,"Martinez, Diego",2000001,Right,MOC_SAN,"Webb, Isaiah",4000009,Right,OPP_VAL,Undefined,2,Top,1,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.82,-3.05,-2.24,2500.52,74.18,8:28,5.85,1.83,6.08,-50.77,-0.76,-14.85,3.41,-0.49,75.88,-6.64,-1.01,0.47,,,,,,,,,,,,,,,50,,,,,,,,MOC_SAN,OPP_VAL,MockField,JUCO,NJCAA,20251004-MockField-1,7e2d38a3-c1b7-43f6-bc7c-55ca7fd39009,82.23,,,7.94,,,,,,,197c8984-f292-4a91-838c-b82fb1aaed2d,2025-10-04,20:10:49,2025-10-04T13:10:49,2025-10-04T20:10:49Z,,v3,,,,"Bennett, Cole",3000011,Right,MOC_SAN,044eed64-3548-47b6-b4eb-b58d0b4910b2
